,title,XP,test_icons,traits,faction,ability,type,flavor,artist,expansion
102,Survival Instinct,XP: 2.,AGILITY AGILITY,Innate. Developed.,Survivor,"If this test is successful during an evasion attempt, the evading investigator may immediately evade each other enemy engaged with him or her, and may move to a connecting location.",Skill,,David Nash,Undimensioned and Unseen #235
103,Take Heart,0,,Innate.,Survivor,"Max 1 committed per skill test.You may commit Take Heart to any type of test.If this test fails, the performing investigator draws 2 cards and gains 2 resources.",Skill,,Andreia Ugrai,Heart of the Elders #201
104,Take Heart,0,,Innate.,Survivor,"Max 1 committed per skill test.You may commit Take Heart to any type of test.If this test fails, the performing investigator draws 2 cards and gains 2 resources.",Skill,,Andreia Ugrai,Stella Clark #19
105,Take the Initiative,0,WILD WILD WILD,Practiced. Bold.,Guardian,"Commit only to a skill test you are performing.<br/>Take the Initiative loses <span class=""icon-wild"" title=""Any Skill""></span> for each action that has been completed by any investigator this phase.",Skill,,Tiziano Baracchi,The Boundary Beyond #150
106,The Eye of Truth,XP: 5.,WILD WILD WILD WILD,Spell. Practiced.,Seeker,"If this skill test is on a treachery and the test is successful, add that treachery to the victory display and attach The Eye of Truth to it.While attached, The Eye of Truth contributes its skill icons to all tests on copies of the attached treachery.",Skill,It's always watching you.,Adam S. Doyle,Weaver of the Cosmos #325
107,The Home Front,0,COMBAT COMBAT COMBAT COMBAT,Practiced. Expert.,Neutral,"Mark Harrigan deck only.If this skill test is successful during an attack, move 1 damage from Mark Harrigan to the attacked enemy.",Skill,The real war has only just begun.,Eric Deschamps,The Path to Carcosa #7
108,Three Aces,XP: 1.,WILD,Fortune. Practiced.,Rogue,"Myriad.If you commit 3 copies of Three Aces to a skill test, that test automatically succeeds <i>(do not reveal chaos tokens from the chaos bag)</i>. Then draw 3 cards and gain 3 resources (max once per test).",Skill,,Diana Martínez,Dark Side of the Moon #199
109,Torrent of Power,0,WILD,Practiced.,Mystic,"As an additional cost to commit Torrent of Power to a skill test, spend up to 3 charges from among assets you control.For each charge spent in this way, Torrent of Power gains WILLPOWER <span class=""icon-wild"" title=""Any Skill""></span>.",Skill,,Smirtouille,The Pallid Mask #235
110,True Understanding,0,WILD,Innate.,Seeker,"Commit only to a skill test from an ability printed on a scenario card.<br/>If this skill test is successful, discover 1 clue at your location.",Skill,,Alexander Kozachenko,The Boundary Beyond #153
111,Unexpected Courage,0,WILD WILD,Innate.,Neutral,Max 1 committed per skill test.,Skill,"Sometimes, the most selfless acts can come from the strangest places",Dleoblack,Core Set #93
112,Unexpected Courage,0,WILD WILD,Innate.,Neutral,Max 1 committed per skill test.,Skill,"Sometimes, the most selfless acts can come from the strangest places",Dleoblack,Revised Core Set #93
113,Unexpected Courage,XP: 2.,WILD WILD,Innate. Developed.,Survivor,"Max 1 committed per skill test.If this test fails, return Unexpected Courage to your hand.",Skill,,Dleoblack,Stella Clark #26
114,Unrelenting,XP: 1.,WILD,Practiced.,Survivor,"Max 1 committed per test.After you commit Unrelenting to a skill test, search the chaos bag for up to 3 non-<span class=""icon-auto_fail"" title=""Auto Fail""></span> chaos tokens of your choice, and seal them on Unrelenting. If all 3 tokens sealed on Unrelenting are ""+1,"", ""0,"" <span class=""icon-bless"" title=""Bless""></span>, and/or <span class=""icon-elder_sign"" title=""Elder Sign""></span> tokens, draw 2 cards. Release all tokens sealed here after this test ends.",Skill,,Alexander Chelyshev,Horror in High Gear #196
115,Vicious Blow,0,COMBAT,Practiced.,Guardian,"If this skill test is successful during an attack, that attack deals +1 damage.",Skill,"With a sickening smack, he struck the abomination over and over... until at last, it stopped moving.",JB Casacop,Core Set #25
116,Vicious Blow,0,COMBAT,Practiced.,Guardian,"If this skill test is successful during an attack, that attack deals +1 damage.",Skill,"With a sickening smack, he struck the abomination over and over... until at last, it stopped moving.",JB Casacop,Revised Core Set #25
117,Vicious Blow,XP: 2.,COMBAT COMBAT,Practiced. Expert.,Guardian,"If this skill test is successful during an attack, that attack deals +1 damage (+2 damage instead if it succeeds by 2 or more).",Skill,"With a sickening smack, he struck the abomination over and over…until at last, it stopped moving.",JB Casacop,Lost in Time and Space #299
118,Vicious Blow,0,COMBAT,Practiced.,Guardian,"If this skill test is successful during an attack, that attack deals +1 damage.",Skill,"With a sickening smack, he struck the abomination over and over... until at last, it stopped moving.",JB Casacop,Nathaniel Cho #19
119,Well-Funded,0,WILD,Fortune.,Seeker,"While you control a <i>Science</i></b> or <i>Tool</i></b> asset, Well-Funded gains <span class=""icon-wild"" title=""Any Skill""></span> (while you control 3 or more <i>Science</i></b> and/or <i>Tool</i></b> assets, Well-Funded gains <span class=""icon-wild"" title=""Any Skill""></span> <span class=""icon-wild"" title=""Any Skill""></span>, instead).",Skill,Every cent of that research grant counts.,Pixoloid Studios,The Feast of Hemlock Vale Investigator Expansion #51
120,Whispers from the Deep,0,WILD,Curse.,Neutral,"This skill's icons subtract from your skill value instead of adding to it.Forced</b> - When choosing a card to place beneath Amanda Sharpe, if Whispers from the Deep is in your hand: You must choose it.",Skill. Weakness,,Borja Pindado,The Innsmouth Conspiracy #9
